                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2957,                  4.554,                 4.3231,                0.00033,                0.01111,                0.00018,                  4e-05,                 4.2878,                 4.4993,                 4.1611,             0.00012221,             0.00012221,             0.00012221
                      2,                 3.9246,                 4.2105,                 4.2199,                0.00034,                0.01111,                0.00018,                  4e-05,                 4.2937,                 4.5302,                 4.1652,               0.000253,               0.000253,               0.000253
                      3,                 3.5867,                 3.8438,                 4.0945,                 0.0003,                0.01111,                0.00019,                  2e-05,                 4.3125,                 4.6061,                 4.1807,             0.00038115,             0.00038115,             0.00038115
                      4,                 3.3567,                 3.5792,                 3.9011,                0.00058,                0.03611,                0.00155,                0.00017,                 4.3741,                 4.7837,                 4.2439,             0.00050666,             0.00050666,             0.00050666
                      5,                 3.1275,                 3.3378,                 3.6334,                0.00058,                0.03611,                0.00155,                0.00017,                 4.4601,                 4.9557,                 4.3512,             0.00062953,             0.00062953,             0.00062953
                      6,                 3.0386,                 3.0861,                 3.3713,                0.00058,                0.03611,                0.00155,                0.00017,                 4.5112,                 5.0568,                 4.4368,             0.00074976,             0.00074976,             0.00074976
                      7,                 2.8446,                 2.9378,                 3.1346,                0.00029,                  0.025,                0.00263,                0.00026,                  4.587,                 5.1697,                 4.5571,             0.00086736,             0.00086736,             0.00086736
                      8,                  2.668,                 2.7244,                 2.9331,                0.00029,                  0.025,                0.00263,                0.00026,                 4.5067,                 5.1082,                 4.5411,             0.00098231,             0.00098231,             0.00098231
                      9,                 2.5442,                 2.5217,                   2.77,                0.00467,                 0.0915,                0.02341,                0.00651,                 4.3646,                 5.0096,                 4.4959,               0.001023,               0.001023,               0.001023
                     10,                 2.5018,                  2.377,                 2.6075,                 0.7722,                0.04755,                0.05336,                 0.0286,                 3.7807,                 4.2983,                 3.9445,               0.001023,               0.001023,               0.001023
                     11,                  2.422,                 2.1991,                  2.464,                0.49852,                0.06896,                0.05883,                0.02526,                 3.3483,                 3.6209,                 3.4907,               0.001012,               0.001012,               0.001012
                     12,                 2.3052,                   2.07,                 2.3269,                0.51708,                 0.0821,                0.09094,                0.04467,                 2.7405,                 2.8714,                 2.8859,               0.001001,               0.001001,               0.001001
                     13,                 2.1654,                 1.9445,                 2.2249,                0.39298,                0.17645,                0.15636,                0.07539,                  2.311,                 2.2367,                 2.4557,             0.00099001,             0.00099001,             0.00099001
                     14,                 2.1513,                 1.9103,                 2.1803,                0.48165,                0.21328,                0.21941,                0.10316,                 2.1023,                 2.0662,                 2.2822,             0.00097901,             0.00097901,             0.00097901
                     15,                 2.0568,                 1.7711,                   2.08,                0.26708,                0.23465,                0.25046,                 0.1231,                 1.9225,                  1.831,                 2.0482,             0.00096801,             0.00096801,             0.00096801
                     16,                 2.0178,                 1.7127,                 2.0064,                0.30719,                0.24673,                0.26933,                 0.1209,                  2.019,                 1.6663,                 2.0693,             0.00095702,             0.00095702,             0.00095702
                     17,                  1.945,                  1.656,                 1.9499,                0.37796,                0.35416,                0.40582,                 0.2309,                 1.7689,                 1.6177,                 1.8912,             0.00094602,             0.00094602,             0.00094602
                     18,                 2.0067,                 1.6813,                 1.9468,                0.32496,                0.35976,                0.36818,                0.20181,                 1.7232,                 1.4587,                 1.8486,             0.00093502,             0.00093502,             0.00093502
                     19,                  1.848,                 1.5597,                  1.864,                0.60746,                0.35985,                0.48284,                0.30276,                 1.6282,                  1.398,                 1.8242,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.8156,                 1.5296,                  1.846,                0.55078,                0.39243,                0.50304,                0.29182,                 1.6561,                 1.3533,                 1.7994,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.7803,                 1.4764,                 1.7949,                0.65847,                0.40311,                0.49515,                0.31179,                 1.4926,                 1.2946,                 1.6967,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.7343,                 1.4208,                 1.7816,                0.61466,                0.43124,                0.50931,                0.29656,                 1.6743,                  1.318,                 1.7973,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.7503,                 1.4295,                 1.7966,                0.56207,                0.46343,                0.54309,                0.29814,                 1.6138,                 1.2944,                  1.771,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.6988,                 1.3739,                 1.7448,                0.46088,                0.44867,                0.50418,                0.28182,                 1.5814,                  1.329,                 1.7397,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.6865,                 1.3276,                  1.689,                0.56966,                0.48877,                0.52194,                0.30445,                 1.5148,                  1.275,                 1.6591,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.7379,                 1.3809,                 1.7198,                 0.5756,                0.42353,                0.50353,                0.30084,                 1.5078,                 1.2913,                 1.6462,             0.00084703,             0.00084703,             0.00084703
                     27,                   1.64,                  1.329,                 1.6534,                 0.5249,                0.48553,                0.52759,                0.31902,                 1.4213,                  1.215,                 1.6459,             0.00083603,             0.00083603,             0.00083603
                     28,                  1.608,                 1.3209,                 1.6682,                0.60711,                0.47037,                0.54778,                0.34919,                 1.4136,                 1.2555,                 1.6074,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.5588,                 1.2663,                 1.6105,                0.53533,                0.49355,                0.55288,                0.36248,                 1.3667,                 1.1213,                 1.5604,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.5332,                 1.2554,                 1.6094,                0.57363,                0.44016,                0.54387,                0.34605,                 1.3714,                 1.1684,                  1.538,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.4846,                  1.188,                 1.5483,                0.55776,                0.48471,                0.56353,                0.36235,                 1.3365,                 1.1189,                 1.5252,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.4761,                 1.1608,                  1.551,                0.70453,                 0.4514,                0.53252,                0.33183,                 1.3646,                 1.2638,                 1.5505,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.4454,                  1.151,                 1.5255,                0.53973,                0.51792,                0.60745,                0.35278,                 1.4062,                 1.1506,                 1.5837,             0.00077003,             0.00077003,             0.00077003
                     34,                 1.4258,                 1.1398,                 1.4921,                0.70451,                0.50325,                0.63774,                0.42888,                 1.2054,                 1.0843,                 1.4463,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.3962,                  1.099,                 1.4811,                0.65826,                0.45672,                0.57525,                 0.3905,                 1.2231,                 1.0608,                 1.4266,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.4399,                 1.1438,                 1.4923,                0.58359,                0.55461,                0.61606,                0.36251,                 1.4308,                 1.1329,                 1.5458,             0.00073704,             0.00073704,             0.00073704
                     37,                  1.453,                 1.1433,                 1.4814,                0.59874,                0.58519,                0.64805,                0.42149,                 1.2271,                 1.0394,                 1.4244,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.3692,                 1.0644,                 1.4098,                0.61905,                0.52494,                0.64256,                0.44397,                 1.1569,                0.92416,                 1.3793,             0.00071504,             0.00071504,             0.00071504
