                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8649,                  4.177,                 4.5308,                0.00166,                0.04202,                0.00089,                0.00019,                 4.1904,                 3.8166,                 4.1594,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.8637,                 4.0975,                 4.5464,                0.00134,                0.03361,                 0.0007,                0.00015,                  4.191,                 3.8164,                 4.1598,              5.406e-05,              5.406e-05,              5.406e-05
                      3,                 3.7158,                 3.9695,                 4.4736,                0.00158,                0.03782,                0.00094,                0.00019,                 4.1915,                 3.8169,                 4.1602,               8.02e-05,               8.02e-05,               8.02e-05
                      4,                 3.9283,                 3.8714,                 4.4857,                0.00129,                0.03361,                0.00074,                0.00022,                 4.1922,                 3.8184,                 4.1607,              9.842e-05,              9.842e-05,              9.842e-05
                      5,                 3.8139,                 3.8284,                 4.4064,                0.00151,                0.03782,                0.00085,                0.00023,                  4.193,                  3.821,                 4.1613,             0.00010872,             0.00010872,             0.00010872
                      6,                 3.7286,                  3.683,                 4.3447,                 0.0012,                0.02941,                0.00067,                0.00021,                 4.1939,                 3.8246,                 4.1621,              0.0001111,              0.0001111,              0.0001111
                      7,                 3.8957,                 3.6908,                 4.3714,                0.00118,                0.02941,                0.00066,                0.00021,                 4.1951,                 3.8287,                  4.163,             0.00010556,             0.00010556,             0.00010556
                      8,                 3.7801,                 3.5273,                 4.3212,                 0.0012,                0.02941,                0.00066,                0.00021,                 4.1964,                 3.8331,                 4.1641,               9.21e-05,               9.21e-05,               9.21e-05
                      9,                  3.647,                 3.5719,                 4.2416,                0.00157,                0.03782,                0.00088,                0.00018,                 4.1971,                 3.8353,                 4.1647,              7.072e-05,              7.072e-05,              7.072e-05
                     10,                 3.5305,                 3.5088,                 4.2531,                0.00142,                0.03361,                0.00079,                0.00016,                 4.1987,                 3.8397,                  4.166,              4.142e-05,              4.142e-05,              4.142e-05
