                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2996,                 3.9505,                 4.4245,                0.00161,                0.04202,                0.00085,                 0.0002,                 4.1904,                 3.8165,                 4.1594,                  2e-05,                  2e-05,                  2e-05
                      2,                 4.3995,                 3.9523,                 4.4416,                0.00151,                0.03782,                 0.0008,                0.00015,                  4.191,                 3.8163,                 4.1598,               4.02e-05,               4.02e-05,               4.02e-05
                      3,                 4.1087,                 3.8872,                 4.4028,                0.00165,                0.04202,                0.00086,                 0.0002,                 4.1917,                 3.8166,                 4.1603,                3.4e-05,                3.4e-05,                3.4e-05
