                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5973,                 4.5936,                  4.312,                      0,                      0,                      0,                      0,                 4.3381,                 4.5291,                 4.1591,                      0,                      0,                      0
                      2,                 3.6051,                 4.5599,                 4.3697,                      0,                      0,                      0,                      0,                 4.3379,                 4.5286,                 4.1592,                1.1e-05,                1.1e-05,                1.1e-05
                      3,                 4.5249,                 4.5941,                 4.3703,                      0,                      0,                      0,                      0,                 4.3377,                 4.5282,                 4.1593,              2.178e-05,              2.178e-05,              2.178e-05
                      4,                 4.1891,                 4.5542,                 4.3461,                      0,                      0,                      0,                      0,                 4.3376,                 4.5278,                 4.1595,              3.234e-05,              3.234e-05,              3.234e-05
                      5,                 3.9086,                 4.6254,                  4.364,                      0,                      0,                      0,                      0,                 4.3373,                 4.5274,                 4.1596,              4.268e-05,              4.268e-05,              4.268e-05
                      6,                 4.5678,                 4.6222,                  4.351,                      0,                      0,                      0,                      0,                 4.3371,                 4.5272,                 4.1598,               5.28e-05,               5.28e-05,               5.28e-05
                      7,                 4.3244,                  4.556,                 4.3979,                      0,                      0,                      0,                      0,                 4.3369,                  4.527,                 4.1599,               6.27e-05,               6.27e-05,               6.27e-05
                      8,                  3.877,                 4.5455,                  4.439,                      0,                      0,                      0,                      0,                 4.3366,                  4.527,                 4.1601,             7.2381e-05,             7.2381e-05,             7.2381e-05
                      9,                 4.2683,                 4.6068,                 4.4367,                      0,                      0,                      0,                      0,                 4.3363,                 4.5271,                 4.1602,             8.1841e-05,             8.1841e-05,             8.1841e-05
                     10,                 4.0127,                 4.4626,                 4.2824,                      0,                      0,                      0,                      0,                  4.336,                 4.5274,                 4.1604,             9.1081e-05,             9.1081e-05,             9.1081e-05
                     11,                 4.3711,                 4.5121,                 4.3073,                      0,                      0,                      0,                      0,                 4.3356,                 4.5278,                 4.1606,              0.0001001,              0.0001001,              0.0001001
