                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1071,                 4.5822,                 4.3354,                0.00151,                0.05178,                0.00288,                0.00083,                 4.0757,                 4.4965,                 4.1597,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 4.2005,                  4.522,                 4.3063,                0.00088,                0.02511,                0.00246,                0.00076,                 4.0774,                 4.4973,                 4.1605,                9.9e-05,                9.9e-05,                9.9e-05
                      3,                 3.9122,                 4.3458,                 4.2496,                0.00092,                0.02511,                0.00259,                0.00087,                 4.0803,                 4.5041,                 4.1617,             0.00015246,             0.00015246,             0.00015246
                      4,                 3.9112,                 4.2183,                 4.2056,                0.00089,                0.02511,                0.00253,                0.00078,                 4.0842,                 4.5149,                 4.1634,             0.00020482,             0.00020482,             0.00020482
                      5,                 3.9078,                 4.0846,                 4.1544,                0.00088,                0.02511,                 0.0042,                0.00109,                  4.092,                 4.5377,                 4.1674,             0.00025608,             0.00025608,             0.00025608
                      6,                 3.5628,                 3.9306,                 4.1204,                0.00082,                0.02511,                 0.0068,                0.00246,                 4.0985,                   4.56,                  4.172,             0.00030624,             0.00030624,             0.00030624
                      7,                 3.4956,                 3.8213,                 4.0306,                0.00085,                0.02511,                0.00842,                0.00266,                 4.1136,                 4.6082,                 4.1845,              0.0003553,              0.0003553,              0.0003553
                      8,                 3.4727,                 3.6909,                 3.9346,                0.00161,                0.05844,                0.00679,                0.00136,                 4.1322,                 4.6505,                 4.1994,             0.00040326,             0.00040326,             0.00040326
                      9,                  3.331,                  3.596,                 3.8672,                0.00195,                0.07178,                 0.0047,                 0.0011,                 4.1699,                 4.7297,                  4.235,             0.00045012,             0.00045012,             0.00045012
                     10,                 3.2352,                 3.4247,                 3.7016,                 0.0019,                0.07383,                0.00658,                0.00282,                 4.1876,                  4.765,                 4.2557,             0.00049588,             0.00049588,             0.00049588
                     11,                 3.0655,                 3.3363,                 3.6312,                0.00188,                0.07178,                 0.0094,                0.00447,                   4.21,                 4.8023,                 4.2817,             0.00054055,             0.00054055,             0.00054055
                     12,                 2.9794,                 3.2724,                 3.5156,                0.00197,                0.07383,                0.00958,                0.00445,                 4.2562,                 4.8759,                  4.335,             0.00058411,             0.00058411,             0.00058411
