                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2996,                 3.9505,                 4.4245,                0.00161,                0.04202,                0.00085,                 0.0002,                 4.1904,                 3.8165,                 4.1594,                  2e-05,                  2e-05,                  2e-05
                      2,                 4.3995,                 3.9471,                 4.4402,                0.00134,                0.03361,                 0.0007,                0.00016,                  4.191,                 3.8164,                 4.1598,             5.9151e-05,             5.9151e-05,             5.9151e-05
                      3,                 4.0888,                 3.8561,                 4.3892,                0.00139,                0.03361,                0.00082,                0.00018,                 4.1916,                  3.817,                 4.1602,             9.7171e-05,             9.7171e-05,             9.7171e-05
                      4,                 4.5538,                 3.7994,                 4.3618,                0.00119,                0.02941,                0.00067,                0.00021,                 4.1923,                 3.8189,                 4.1606,             0.00013406,             0.00013406,             0.00013406
                      5,                 4.2183,                 3.6102,                 4.3612,                0.00133,                0.03361,                0.00073,                0.00022,                 4.1931,                 3.8224,                 4.1611,             0.00016982,             0.00016982,             0.00016982
                      6,                 4.1582,                 3.5375,                 4.2783,                0.00118,                0.02941,                0.00065,                0.00021,                 4.1942,                 3.8272,                 4.1617,             0.00020444,             0.00020444,             0.00020444
                      7,                 4.1719,                 3.3885,                 4.2739,                0.00153,                0.03782,                0.00086,                0.00018,                 4.1956,                 3.8332,                 4.1624,             0.00023794,             0.00023794,             0.00023794
                      8,                 3.8078,                 3.3731,                 4.2099,                0.00123,                0.02941,                0.00069,                0.00015,                 4.1975,                   3.84,                 4.1634,              0.0002703,              0.0002703,              0.0002703
                      9,                 3.8043,                 3.3301,                  4.177,                0.00136,                0.03361,                0.00076,                0.00016,                 4.1986,                 3.8436,                 4.1639,             0.00030153,             0.00030153,             0.00030153
                     10,                 4.0004,                 3.4346,                 4.1304,                0.00145,                0.03361,                0.00081,                0.00018,                  4.201,                 3.8506,                 4.1653,             0.00033163,             0.00033163,             0.00033163
                     11,                 3.9759,                 3.2423,                 4.0602,                0.00125,                0.02941,                 0.0007,                0.00015,                 4.2036,                 3.8585,                 4.1668,              0.0003606,              0.0003606,              0.0003606
                     12,                 3.7487,                  3.079,                 4.0565,                0.00141,                0.03361,                 0.0008,                0.00024,                 4.2066,                 3.8675,                 4.1686,             0.00038844,             0.00038844,             0.00038844
                     13,                 3.8068,                 3.0336,                 4.0055,                0.00141,                0.03361,                 0.0008,                0.00023,                 4.2102,                 3.8784,                 4.1709,             0.00041514,             0.00041514,             0.00041514
                     14,                 3.4247,                 3.0477,                 4.0256,                 0.0014,                0.03361,                 0.0008,                0.00024,                 4.2148,                 3.8922,                  4.174,             0.00044072,             0.00044072,             0.00044072
                     15,                 3.4374,                 3.0755,                 3.9573,                 0.0014,                0.03361,                0.00079,                0.00024,                 4.2205,                 3.9066,                 4.1777,             0.00046516,             0.00046516,             0.00046516
                     16,                 3.1823,                 2.8769,                 3.9373,                0.00173,                0.04202,                0.00098,                0.00026,                 4.2274,                  3.921,                 4.1822,             0.00048847,             0.00048847,             0.00048847
                     17,                   3.16,                 2.7412,                 3.8584,                0.00134,                0.03361,                0.00076,                0.00022,                 4.2362,                  3.937,                 4.1879,             0.00051065,             0.00051065,             0.00051065
                     18,                 3.1209,                 2.7151,                 3.8022,                0.00148,                0.03782,                0.00083,                0.00023,                 4.2474,                 3.9557,                 4.1959,              0.0005317,              0.0005317,              0.0005317
                     19,                 3.0823,                 2.6999,                 3.7304,                0.00133,                0.03361,                0.00076,                0.00023,                  4.262,                 3.9801,                 4.2065,             0.00055162,             0.00055162,             0.00055162
                     20,                 3.0791,                 2.7327,                 3.6507,                0.00149,                0.03782,                0.00084,                0.00023,                 4.2783,                 4.0044,                 4.2184,              0.0005704,              0.0005704,              0.0005704
                     21,                 2.9136,                 2.6141,                  3.657,                0.00164,                0.04202,                0.00093,                0.00024,                 4.2921,                  4.023,                 4.2297,             0.00058806,             0.00058806,             0.00058806
                     22,                 2.8009,                 2.7312,                 3.6491,                0.00164,                0.04202,                0.00092,                0.00025,                 4.3056,                 4.0432,                 4.2419,             0.00060458,             0.00060458,             0.00060458
                     23,                 2.7628,                 2.6101,                 3.5293,                0.00146,                0.03782,                0.00082,                0.00023,                 4.3202,                  4.066,                 4.2555,             0.00061997,             0.00061997,             0.00061997
                     24,                 2.9217,                   2.45,                  3.412,                0.00129,                0.03361,                0.00073,                0.00023,                 4.3321,                 4.0784,                  4.267,             0.00063423,             0.00063423,             0.00063423
                     25,                 2.7798,                 2.3366,                 3.3512,                0.00145,                0.03782,                0.00081,                0.00024,                 4.3478,                 4.0994,                 4.2823,             0.00064736,             0.00064736,             0.00064736
                     26,                 2.8145,                 2.3388,                 3.2352,                0.00146,                0.03782,                0.00082,                0.00024,                 4.3654,                  4.124,                 4.3014,             0.00065936,             0.00065936,             0.00065936
                     27,                  2.596,                 2.2875,                 3.2938,                0.00162,                0.04202,                0.00093,                0.00024,                 4.3881,                 4.1605,                 4.3287,             0.00067022,             0.00067022,             0.00067022
                     28,                 2.6719,                 2.2335,                 3.1316,                0.00162,                0.04202,                0.00093,                0.00024,                 4.3881,                 4.1605,                 4.3287,             0.00067996,             0.00067996,             0.00067996
                     29,                 2.6856,                 2.2356,                 3.1063,                0.00148,                0.03782,                0.00083,                0.00022,                 4.4062,                 4.1839,                 4.3506,             0.00068856,             0.00068856,             0.00068856
                     30,                  2.528,                 2.1272,                 3.0475,                0.00147,                0.03782,                0.00083,                0.00021,                 4.4147,                 4.1659,                 4.3621,             0.00069603,             0.00069603,             0.00069603
                     31,                 2.5353,                 2.0819,                 3.0804,                0.00147,                0.03782,                0.00083,                0.00021,                 4.4147,                 4.1659,                 4.3621,             0.00070237,             0.00070237,             0.00070237
                     32,                 2.5368,                 1.9857,                 2.9997,                 0.0013,                0.03361,                0.00074,                 0.0002,                 4.4284,                 4.1567,                 4.3774,             0.00070758,             0.00070758,             0.00070758
                     33,                 2.5403,                 2.0621,                 3.0191,                0.00113,                0.02941,                0.00063,                0.00018,                 4.4367,                 4.1312,                 4.3867,             0.00071166,             0.00071166,             0.00071166
                     34,                 2.3973,                 1.9863,                 2.9437,                0.00113,                0.02941,                0.00063,                0.00018,                 4.4367,                 4.1312,                 4.3867,              0.0007146,              0.0007146,              0.0007146
                     35,                  2.354,                 2.0505,                 2.8763,                0.00114,                0.02941,                0.00063,                0.00018,                 4.4476,                 4.1207,                 4.3998,             0.00071642,             0.00071642,             0.00071642
                     36,                 2.4173,                 2.0393,                 2.8787,                0.00127,                0.02941,                0.00071,                0.00019,                 4.4368,                 4.0508,                 4.3901,              0.0007171,              0.0007171,              0.0007171
                     37,                 2.4098,                 1.8442,                 2.7211,                0.00127,                0.02941,                0.00071,                0.00019,                 4.4368,                 4.0508,                 4.3901,             0.00071665,             0.00071665,             0.00071665
                     38,                 2.4206,                  1.895,                 2.6661,                0.00145,                0.02941,                0.00079,                 0.0002,                 4.4386,                 4.0417,                 4.3939,             0.00071507,             0.00071507,             0.00071507
                     39,                 2.3271,                 1.7456,                 2.7394,                0.00146,                0.02941,                 0.0008,                 0.0002,                 4.4244,                 3.9936,                 4.3783,             0.00071236,             0.00071236,             0.00071236
                     40,                 2.2704,                 1.8687,                 2.6801,                0.00146,                0.02941,                 0.0008,                 0.0002,                 4.4244,                 3.9936,                 4.3783,             0.00070852,             0.00070852,             0.00070852
