                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3892,                 1.0991,                 1.4732,                0.70304,                0.52671,                0.63918,                0.37569,                 1.3929,                 1.1256,                 1.5417,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.3996,                 1.0827,                 1.4828,                0.58024,                0.47012,                0.57395,                0.38856,                 1.2194,                 1.0723,                 1.4261,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.4638,                 1.1378,                 1.5093,                0.65091,                 0.5339,                0.63784,                0.41643,                 1.3163,                 1.0453,                 1.4592,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.3903,                  1.075,                 1.4537,                0.66544,                0.54724,                 0.6531,                 0.4394,                 1.2005,                  1.084,                 1.4096,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.3557,                 1.0415,                 1.4155,                0.58592,                0.56059,                0.64727,                0.42706,                 1.3013,                 1.0234,                 1.4578,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.3838,                 1.0807,                 1.4487,                0.71192,                0.50819,                0.66409,                0.43508,                 1.2157,                 1.0097,                 1.4236,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.3594,                 1.0588,                 1.4651,                0.58689,                0.63289,                0.69425,                  0.449,                 1.2155,                0.97184,                 1.4061,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.3275,                 1.0151,                 1.4186,                0.56198,                0.58101,                 0.6599,                0.44753,                 1.1425,                0.93811,                 1.3631,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.2994,                0.98521,                 1.3939,                0.60512,                0.62119,                 0.6884,                0.45115,                 1.1193,                0.92361,                 1.3574,               0.000604,               0.000604,               0.000604
                     43,                 1.3284,                 1.0258,                 1.4106,                0.67384,                 0.5348,                0.64972,                0.45076,                 1.1562,                0.96397,                 1.3605,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.2636,                0.98114,                 1.3929,                0.67541,                0.65352,                0.72013,                 0.4979,                 1.1775,                0.88345,                 1.3578,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.2871,                0.97099,                 1.3695,                0.70493,                0.61032,                0.72077,                 0.4514,                 1.1877,                0.90146,                 1.3514,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.2708,                0.97713,                 1.3688,                0.61905,                 0.6092,                0.66672,                 0.4629,                 1.1527,                0.90733,                 1.3364,              0.0005644,              0.0005644,              0.0005644
                     47,                  1.249,                0.93422,                 1.3504,                0.66415,                0.63175,                0.69637,                0.46517,                 1.0997,                0.85669,                 1.3216,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.1958,                0.92058,                 1.3263,                  0.667,                0.65364,                0.70995,                 0.4831,                 1.0691,                0.87131,                 1.2794,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.2108,                0.91999,                 1.3092,                0.70984,                0.69121,                  0.743,                0.48198,                 1.1816,                0.86383,                 1.3519,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.2187,                0.92135,                 1.3386,                0.67643,                0.63144,                0.71331,                0.50893,                 1.0627,                0.85228,                 1.3005,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.1742,                0.88889,                 1.3005,                0.68158,                0.68024,                0.73415,                0.50457,                 1.0724,                0.81909,                 1.2748,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.1666,                0.90162,                 1.2998,                0.68486,                0.64376,                0.73429,                 0.5185,                 1.0518,                0.87089,                 1.2587,               0.000505,               0.000505,               0.000505
                     53,                 1.1607,                0.90365,                 1.3131,                0.69629,                0.66535,                0.72203,                0.50677,                 1.0332,                0.80186,                 1.2701,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.1315,                 0.8704,                 1.2906,                0.66182,                0.59595,                0.70445,                0.49615,                 1.0614,                0.88369,                 1.2755,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.1211,                0.87472,                 1.2762,                0.72849,                0.68923,                0.74898,                0.52337,                 1.0582,                0.79489,                  1.264,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.1057,                0.85974,                 1.2753,                0.72148,                0.65071,                0.73476,                0.51547,                 1.0742,                0.83576,                 1.2792,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.1529,                0.85983,                 1.2803,                0.69349,                0.69507,                0.74222,                0.50758,                 1.1356,                0.77796,                 1.2945,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.1305,                0.84455,                 1.2788,                0.75592,                0.67615,                0.75537,                0.53716,                 1.0466,                0.75815,                 1.2412,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.1698,                0.86133,                  1.267,                0.76095,                0.67751,                0.76513,                0.53776,                 1.1119,                0.78715,                 1.2715,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.0992,                0.81914,                 1.2573,                0.68526,                0.71416,                0.75222,                0.55327,                 1.0087,                0.79813,                 1.2354,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.0858,                0.81877,                 1.2231,                0.89881,                0.70258,                0.94361,                0.54516,                 1.0693,                0.75892,                 1.2544,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.0919,                0.83994,                 1.2669,                0.94936,                0.70497,                0.76589,                0.56136,                 1.0266,                0.77985,                 1.2341,               0.000406,               0.000406,               0.000406
                     63,                 1.1172,                 0.8238,                 1.2373,                0.97586,                0.70497,                0.96497,                 0.5753,                 1.0244,                0.73549,                 1.2262,              0.0003961,              0.0003961,              0.0003961
                     64,                 1.0915,                0.80745,                 1.2441,                0.92138,                0.70911,                0.95591,                 0.6298,                0.96025,                0.71443,                 1.1886,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.0984,                 0.8236,                 1.2374,                0.94273,                0.69346,                0.75913,                0.56239,                0.98514,                0.71386,                 1.1974,              0.0003763,              0.0003763,              0.0003763
                     66,                 1.0485,                0.78189,                 1.2064,                0.98491,                0.65988,                0.85613,                0.57981,                  1.017,                0.70364,                 1.2168,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.0716,                0.79365,                 1.2232,                0.95029,                0.70348,                 0.7494,                0.55137,                 1.0064,                 0.7115,                 1.2078,              0.0003565,              0.0003565,              0.0003565
                     68,                 1.0399,                0.79283,                 1.2026,                0.94767,                0.70372,                0.80904,                0.58415,                 0.9585,                0.71802,                  1.185,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.0329,                0.77078,                 1.2011,                0.93066,                0.70167,                0.78038,                0.59316,                0.94058,                0.70506,                 1.1719,              0.0003367,              0.0003367,              0.0003367
                     70,                 1.0319,                0.78258,                 1.1874,                0.95689,                0.71366,                0.85419,                0.60533,                0.95708,                0.68868,                 1.1658,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.0467,                0.78138,                 1.2075,                0.95409,                0.68021,                 0.9566,                0.61644,                0.96817,                0.69028,                 1.1741,              0.0003169,              0.0003169,              0.0003169
                     72,                  1.001,                0.75362,                 1.1879,                0.93404,                 0.7173,                0.96569,                0.63862,                0.94666,                0.67439,                 1.1656,               0.000307,               0.000307,               0.000307
                     73,                 1.0224,                 0.7726,                 1.1942,                0.93733,                0.72069,                0.95943,                0.62616,                0.94235,                0.67772,                 1.1599,              0.0002971,              0.0002971,              0.0002971
                     74,                 1.0033,                0.76875,                 1.1812,                0.94673,                0.66914,                0.95972,                0.65393,                0.94325,                0.68027,                 1.1665,              0.0002872,              0.0002872,              0.0002872
                     75,                0.98988,                0.74174,                 1.1652,                0.95875,                0.70981,                0.97439,                0.66415,                0.93241,                0.67366,                 1.1553,              0.0002773,              0.0002773,              0.0002773
                     76,                 1.0035,                0.76616,                 1.1677,                0.91955,                0.74237,                0.85697,                0.60227,                0.92184,                0.66758,                 1.1505,              0.0002674,              0.0002674,              0.0002674
                     77,                0.99708,                0.73046,                 1.1709,                0.93546,                0.71982,                0.96148,                0.66488,                0.91626,                0.66936,                 1.1487,              0.0002575,              0.0002575,              0.0002575
                     78,                0.99545,                0.73948,                 1.1562,                0.96293,                0.71471,                0.86398,                0.62314,                0.92049,                0.65419,                  1.146,              0.0002476,              0.0002476,              0.0002476
                     79,                 1.0018,                0.74046,                 1.1699,                0.98735,                0.69463,                0.83472,                0.61232,                0.90191,                0.65864,                  1.143,              0.0002377,              0.0002377,              0.0002377
                     80,                 1.0003,                0.75407,                 1.1835,                0.93137,                0.71926,                0.79224,                0.60392,                0.90317,                  0.651,                 1.1347,              0.0002278,              0.0002278,              0.0002278
                     81,                0.99389,                0.74962,                 1.1803,                0.90897,                0.76587,                0.86359,                 0.6314,                0.91452,                0.67134,                 1.1371,              0.0002179,              0.0002179,              0.0002179
                     82,                0.96924,                0.72523,                 1.1535,                0.96825,                0.70043,                0.81312,                0.61102,                0.89521,                0.66368,                 1.1282,               0.000208,               0.000208,               0.000208
                     83,                 1.0055,                0.73907,                 1.1677,                0.93601,                0.74219,                0.83176,                0.60644,                0.91589,                0.64744,                 1.1384,              0.0001981,              0.0001981,              0.0001981
                     84,                0.98577,                0.74177,                 1.1587,                0.93978,                 0.7433,                0.83434,                0.63108,                0.86949,                0.65845,                 1.1168,              0.0001882,              0.0001882,              0.0001882
                     85,                0.95268,                0.71805,                 1.1453,                0.93705,                0.73441,                 0.8339,                0.62004,                 0.8862,                0.66256,                  1.128,              0.0001783,              0.0001783,              0.0001783
                     86,                0.95538,                0.71213,                 1.1462,                0.98107,                 0.7151,                0.83647,                0.62948,                0.88379,                0.64653,                  1.125,              0.0001684,              0.0001684,              0.0001684
                     87,                0.97246,                0.73553,                 1.1496,                0.94116,                0.75457,                0.83929,                0.63271,                0.86826,                0.63928,                 1.1117,              0.0001585,              0.0001585,              0.0001585
                     88,                0.93582,                 0.6986,                  1.138,                0.90949,                 0.7612,                 0.8353,                0.63095,                0.87578,                0.64023,                 1.1165,              0.0001486,              0.0001486,              0.0001486
                     89,                0.96842,                0.71614,                 1.1458,                  0.913,                0.75663,                0.83871,                0.63703,                0.87521,                0.62694,                 1.1178,              0.0001387,              0.0001387,              0.0001387
                     90,                0.94711,                0.71795,                 1.1502,                0.94996,                0.73407,                0.87217,                0.65811,                0.86498,                0.63053,                 1.1081,              0.0001288,              0.0001288,              0.0001288
                     91,                0.93667,                 0.8249,                 1.1433,                 0.9369,                0.73808,                0.96311,                0.67412,                0.88897,                0.68402,                 1.1157,              0.0001189,              0.0001189,              0.0001189
                     92,                0.94239,                0.76054,                 1.1161,                0.91327,                0.68649,                 0.9478,                  0.659,                0.91888,                0.80849,                 1.1246,               0.000109,               0.000109,               0.000109
                     93,                0.89471,                0.72555,                 1.1079,                0.93787,                0.66323,                0.93329,                0.64055,                0.94114,                0.77925,                 1.1348,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.88012,                 0.6985,                 1.0853,                0.95804,                 0.6996,                0.95255,                0.65836,                0.91377,                 0.6786,                 1.1175,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.86345,                0.68704,                 1.0795,                0.91847,                0.73637,                0.96674,                0.67414,                 0.9045,                0.65847,                 1.1088,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                 0.8586,                0.66183,                 1.0926,                0.94936,                0.69633,                0.96923,                0.67969,                 0.8991,                0.66411,                 1.1043,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.85836,                0.66584,                 1.0833,                0.96931,                0.66969,                0.96299,                0.69999,                0.88836,                0.66557,                 1.0964,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.84707,                0.66374,                 1.0735,                0.90466,                0.73684,                0.96332,                0.70478,                0.87468,                0.65664,                 1.0889,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.84525,                 0.6528,                 1.0751,                0.91644,                0.76359,                 0.9717,                0.71908,                0.86952,                0.64646,                  1.085,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.83922,                0.65658,                 1.0658,                0.93151,                0.75501,                0.97467,                0.71188,                0.87016,                0.64595,                  1.085,               2.98e-05,               2.98e-05,               2.98e-05
