                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5973,                 4.5936,                  4.312,                      0,                      0,                      0,                      0,                 4.3381,                 4.5291,                 4.1591,                      0,                      0,                      0
                      2,                 3.6051,                 4.5599,                 4.3697,                      0,                      0,                      0,                      0,                 4.3379,                 4.5286,                 4.1592,             1.1088e-05,             1.1088e-05,             1.1088e-05
                      3,                 4.5249,                 4.5941,                 4.3703,                      0,                      0,                      0,                      0,                 4.3377,                 4.5282,                 4.1593,             2.2132e-05,             2.2132e-05,             2.2132e-05
                      4,                 4.1888,                 4.5541,                  4.346,                      0,                      0,                      0,                      0,                 4.3376,                 4.5278,                 4.1595,             3.3132e-05,             3.3132e-05,             3.3132e-05
                      5,                 3.9085,                 4.6251,                 4.3637,                      0,                      0,                      0,                      0,                 4.3373,                 4.5274,                 4.1596,             4.4088e-05,             4.4088e-05,             4.4088e-05
                      6,                 4.5689,                 4.6226,                  4.349,                      0,                      0,                      0,                      0,                 4.3371,                 4.5272,                 4.1598,                5.5e-05,                5.5e-05,                5.5e-05
                      7,                 4.3276,                 4.5527,                 4.3997,                      0,                      0,                      0,                      0,                 4.3369,                  4.527,                 4.1599,             6.5868e-05,             6.5868e-05,             6.5868e-05
                      8,                 3.8708,                 4.5404,                 4.4369,                      0,                      0,                      0,                      0,                 4.3366,                  4.527,                 4.1601,             7.6692e-05,             7.6692e-05,             7.6692e-05
                      9,                 4.2544,                 4.6027,                 4.4393,                      0,                      0,                      0,                      0,                 4.3363,                 4.5271,                 4.1602,             8.7472e-05,             8.7472e-05,             8.7472e-05
                     10,                 4.0098,                 4.4572,                 4.2865,                      0,                      0,                      0,                      0,                  4.336,                 4.5274,                 4.1604,             9.8208e-05,             9.8208e-05,             9.8208e-05
                     11,                 4.3899,                  4.502,                 4.3125,                      0,                      0,                      0,                      0,                 4.3356,                 4.5279,                 4.1606,              0.0001089,              0.0001089,              0.0001089
                     12,                 4.3787,                 4.3992,                 4.3233,                      0,                      0,                      0,                      0,                 4.3351,                 4.5287,                 4.1608,             0.00011955,             0.00011955,             0.00011955
                     13,                 4.2281,                 4.2918,                  4.301,                      0,                      0,                      0,                      0,                 4.3346,                 4.5298,                 4.1611,             0.00013015,             0.00013015,             0.00013015
                     14,                 4.7753,                 4.2915,                 4.2357,                      0,                      0,                      0,                      0,                  4.334,                 4.5312,                 4.1613,             0.00014071,             0.00014071,             0.00014071
                     15,                 4.3495,                 4.1593,                 4.3308,                      0,                      0,                      0,                      0,                 4.3333,                  4.533,                 4.1617,             0.00015123,             0.00015123,             0.00015123
                     16,                 4.3341,                 4.1228,                 4.2519,                      0,                      0,                      0,                      0,                 4.3325,                 4.5354,                  4.162,              0.0001617,              0.0001617,              0.0001617
                     17,                  4.302,                 4.4317,                 4.1928,                      0,                      0,                      0,                      0,                 4.3317,                 4.5377,                 4.1623,             0.00017213,             0.00017213,             0.00017213
                     18,                 3.8045,                 4.0521,                 4.2485,                      0,                      0,                      0,                      0,                 4.3317,                 4.5377,                 4.1623,             0.00018251,             0.00018251,             0.00018251
                     19,                 4.2558,                 4.2427,                 4.2072,                      0,                      0,                      0,                      0,                 4.3307,                 4.5426,                  4.163,             0.00019285,             0.00019285,             0.00019285
                     20,                 4.7127,                 4.1345,                 4.2647,                      0,                      0,                      0,                      0,                 4.3307,                 4.5426,                  4.163,             0.00020315,             0.00020315,             0.00020315
                     21,                 4.1239,                 3.9151,                  4.195,                      0,                      0,                      0,                      0,                   4.33,                 4.5486,                 4.1638,              0.0002134,              0.0002134,              0.0002134
