                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6102,                 8.6056,                 4.5241,                      0,                      0,                      0,                      0,                 5.9834,                 8.9406,                 4.1636,                0.00022,                0.00022,                0.00022
                      2,                 4.8397,                 6.7861,                 4.0199,                      0,                      0,                      0,                      0,                 5.9951,                 8.9195,                 4.1798,             0.00045545,             0.00045545,             0.00045545
                      3,                 3.9806,                 5.0105,                 3.6851,                      0,                      0,                      0,                      0,                 6.0127,                 8.7062,                 4.2107,             0.00068614,             0.00068614,             0.00068614
                      4,                 3.5688,                 4.2254,                 3.3604,                      0,                      0,                      0,                      0,                 6.0181,                 7.5911,                 4.2335,             0.00091208,             0.00091208,             0.00091208
                      5,                 3.1559,                 3.3605,                 2.9257,                      0,                      0,                      0,                      0,                 5.9259,                 6.1814,                 4.1122,              0.0011333,              0.0011333,              0.0011333
                      6,                 2.9859,                 3.1962,                 2.7624,                      0,                      0,                      0,                      0,                 6.0916,                 6.8542,                 4.3492,              0.0013497,              0.0013497,              0.0013497
                      7,                 2.5835,                 2.8608,                 2.5223,                      0,                      0,                      0,                      0,                 6.1373,                 6.4253,                 4.4239,              0.0015614,              0.0015614,              0.0015614
                      8,                  2.534,                 2.7149,                 2.4373,                      0,                      0,                      0,                      0,                 4.2308,                 5.4011,                 3.2014,              0.0017683,              0.0017683,              0.0017683
                      9,                 2.4625,                 2.4814,                 2.4135,                0.27855,                    0.2,                0.17709,                0.07636,                 2.6438,                 3.3986,                 2.5727,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3831,                 2.3377,                 2.3045,                0.37758,                0.46667,                0.44485,                0.11549,                 2.4631,                 3.0458,                 2.7033,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.1462,                 2.2193,                 2.1859,                0.53069,                    0.4,                0.35169,                0.10413,                  2.652,                 2.7362,                  2.604,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.1038,                 2.0745,                 2.1444,                0.45299,                    0.4,                0.38541,                0.12248,                 2.7334,                 2.5042,                 2.5544,               0.001802,               0.001802,               0.001802
                     13,                 2.0562,                 1.9934,                 2.1221,                0.30686,                    0.4,                0.32165,                0.18571,                  1.984,                  5.368,                 2.2799,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.0588,                 1.8175,                 2.0638,                0.67153,                0.53333,                0.61586,                0.32299,                 1.8994,                 1.8907,                 2.1404,              0.0017624,              0.0017624,              0.0017624
                     15,                   1.89,                 1.6692,                  1.989,                0.47053,                0.73333,                0.56368,                0.26309,                 1.9354,                 2.0623,                 2.0638,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.9026,                 1.5439,                 1.9316,                0.74996,                 0.9998,                0.92736,                0.43971,                 1.9535,                 1.9292,                 2.1621,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.7921,                 1.5147,                 1.9161,                0.77524,                0.86667,                0.86151,                 0.5442,                 1.4225,                 2.1553,                 1.9745,               0.001703,               0.001703,               0.001703
                     18,                 1.7914,                 1.5317,                 1.9118,                0.66349,                0.73333,                0.77527,                0.41101,                 1.6389,                  1.784,                  2.052,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.673,                 1.4317,                 1.8092,                0.78676,                      1,                0.86644,                0.55371,                  1.331,                 1.4333,                 1.8102,              0.0016634,              0.0016634,              0.0016634
                     20,                   1.68,                 1.3494,                 1.8346,                 0.6482,                0.86014,                0.75347,                0.47595,                 1.4314,                 1.5075,                 1.8765,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.6637,                 1.3491,                 1.8104,                0.83736,                    0.8,                0.89603,                0.56054,                 1.6017,                 1.4051,                 1.8232,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.5733,                 1.2341,                 1.7611,                0.92691,                0.84655,                0.92561,                 0.5417,                 1.5118,                 1.4606,                 1.8787,               0.001604,               0.001604,               0.001604
                     23,                 1.6252,                 1.2034,                 1.7817,                0.98239,                0.93333,                0.97413,                0.64931,                 1.2632,                 1.5246,                 1.7258,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.4778,                 1.1209,                  1.671,                0.75866,                0.93333,                 0.8692,                0.56783,                 1.2129,                 1.3126,                 1.7202,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.4716,                  1.068,                 1.6354,                0.71488,                0.86667,                0.76849,                 0.4772,                 1.3196,                 1.4833,                 1.7803,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.3999,                 1.0535,                 1.5808,                0.81734,                0.93333,                0.88687,                0.44371,                 1.4371,                 1.3757,                 1.7506,              0.0015248,              0.0015248,              0.0015248
                     27,                  1.542,                 1.0928,                 1.6432,                 0.6745,                      1,                0.79884,                0.51744,                 1.3966,                   1.38,                 1.8051,               0.001505,               0.001505,               0.001505
                     28,                 1.4549,                 1.0559,                 1.6116,                0.86059,                    0.8,                0.92314,                0.52464,                  1.494,                 1.2201,                 1.7472,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.3512,                0.98352,                 1.5259,                0.90787,                0.86667,                0.95696,                0.68004,                 1.1236,                 1.0497,                 1.6478,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.3702,                0.94179,                  1.525,                0.85226,                0.93333,                0.94119,                0.68537,                 1.0296,                 1.1027,                 1.6102,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.3532,                 1.0116,                 1.5291,                0.86679,                      1,                0.95609,                0.62555,                 1.3161,                  1.088,                 1.6185,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.3475,                0.96012,                 1.5211,                0.93643,                0.98292,                0.95375,                0.67256,                 1.0919,                0.94617,                 1.6324,               0.001406,               0.001406,               0.001406
