                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2088,                 9.8274,                 5.1714,                      0,                      0,                      0,                      0,                 5.5034,                 7.6647,                 4.1589,                      0,                      0,                      0
                      2,                 4.9815,                 7.6156,                 4.9978,                      0,                      0,                      0,                      0,                 5.5037,                 7.6658,                 4.1589,             1.1094e-05,             1.1094e-05,             1.1094e-05
                      3,                 5.4931,                 8.5446,                 4.8122,                      0,                      0,                      0,                      0,                  5.504,                 7.6674,                  4.159,             2.2157e-05,             2.2157e-05,             2.2157e-05
                      4,                 4.9662,                 8.4459,                 4.4889,                      0,                      0,                      0,                      0,                 5.5042,                 7.6688,                  4.159,             3.3189e-05,             3.3189e-05,             3.3189e-05
                      5,                 4.8929,                 6.3079,                 5.2201,                      0,                      0,                      0,                      0,                 5.5044,                 7.6705,                  4.159,             4.4189e-05,             4.4189e-05,             4.4189e-05
                      6,                 5.5963,                 7.6163,                 4.7472,                      0,                      0,                      0,                      0,                 5.5047,                 7.6723,                  4.159,             5.5157e-05,             5.5157e-05,             5.5157e-05
                      7,                 5.2313,                  6.658,                 5.2207,                      0,                      0,                      0,                      0,                  5.505,                 7.6746,                  4.159,             6.6094e-05,             6.6094e-05,             6.6094e-05
                      8,                 4.5845,                 10.289,                  5.545,                      0,                      0,                      0,                      0,                 5.5054,                 7.6771,                 4.1591,                7.7e-05,                7.7e-05,                7.7e-05
                      9,                 5.6791,                  8.165,                 4.5874,                      0,                      0,                      0,                      0,                 5.5058,                 7.6798,                 4.1592,             8.7874e-05,             8.7874e-05,             8.7874e-05
                     10,                 5.7431,                 9.0473,                 4.4546,                      0,                      0,                      0,                      0,                 5.5062,                 7.6826,                 4.1593,             9.8717e-05,             9.8717e-05,             9.8717e-05
                     11,                  5.904,                 8.9869,                 4.8299,                      0,                      0,                      0,                      0,                 5.5068,                  7.686,                 4.1595,             0.00010953,             0.00010953,             0.00010953
                     12,                 4.6726,                 6.6943,                 4.3779,                      0,                      0,                      0,                      0,                 5.5075,                 7.6898,                 4.1597,             0.00012031,             0.00012031,             0.00012031
                     13,                 4.5897,                 6.4113,                 4.5678,                      0,                      0,                      0,                      0,                 5.5082,                 7.6937,                 4.1599,             0.00013106,             0.00013106,             0.00013106
                     14,                  4.943,                 5.3943,                 4.3704,                      0,                      0,                      0,                      0,                 5.5091,                 7.6983,                 4.1603,             0.00014177,             0.00014177,             0.00014177
                     15,                 5.8183,                 7.3044,                 4.1315,                      0,                      0,                      0,                      0,                 5.5101,                 7.7035,                 4.1607,             0.00015246,             0.00015246,             0.00015246
                     16,                 4.6188,                 4.6966,                 4.5083,                      0,                      0,                      0,                      0,                 5.5112,                 7.7084,                 4.1613,             0.00016311,             0.00016311,             0.00016311
                     17,                 4.3673,                 7.8846,                  4.342,                      0,                      0,                      0,                      0,                 5.5124,                 7.7139,                 4.1619,             0.00017374,             0.00017374,             0.00017374
